Time (us),Volts (mV),Amps (mA),Frequency (Hz)
0,13.6,40.12,1
82739,9.32,13.38,
165478,18.69,24.07,
248216,12.53,13.38,
330955,5.58,18.73,
413693,9.06,16.05,
496434,14.67,40.12,
579172,24.84,37.44,
661910,18.95,32.1,
744648,29.38,34.77,
827388,31.52,8.03,
910127,26.44,53.49,
992866,29.38,42.8,
1075604,23.77,18.73,
1158344,38.21,45.47,
1241082,32.33,26.74,
1323820,37.94,50.82,
1406559,29.92,64.19,
1489298,38.48,29.42,
1572036,27.51,58.84,
1654775,21.09,58.84,
1737515,37.67,37.44,
1820255,28.58,69.54,
1902995,37.94,58.84,
1985732,37.67,66.87,
2068472,44.36,80.24,
2151211,32.59,74.89,
2233950,39.55,50.82,
2316688,46.5,50.82,
2399427,42.49,72.21,
2482165,51.05,34.77,
2564906,46.77,58.84,
2647643,42.49,48.14,
2730382,36.07,61.51,
2813122,32.59,64.19,
2895862,42.76,66.86,
2978599,40.08,48.14,
3061338,37.14,53.49,
3144076,38.48,64.19,
3226814,36.07,50.82,
3309552,32.86,32.1,
3392292,32.33,56.17,
3475032,40.35,50.82,
3557772,29.92,40.12,
3640510,45.97,26.75,
3723248,35.27,77.56,
3805988,41.15,40.12,
3888724,35.27,56.17,
3971464,27.51,26.75,
4054202,32.33,53.49,
4136940,24.03,21.4,
4219678,39.28,24.07,
4302416,30.45,37.44,
4385154,25.64,32.1,
4467893,29.12,26.75,
4550633,10.66,26.75,
4633372,18.69,21.4,
4716111,13.34,24.07,
4798850,20.29,5.35,
4881588,16.55,18.73,
4964325,16.81,40.12,
5047062,10.13,-13.37,
5129800,-1.37,-34.77,
5212539,4.78,-37.44,
5295279,2.64,-45.47,
5378019,6.65,-37.44,
5460757,-4.05,-21.39,
5543496,1.3,-29.41,
5626236,1.3,-66.86,
5708975,-16.62,-45.47,
5791714,-21.43,-21.4,
5874454,-18.22,-53.49,
5957194,-19.56,-37.44,
6039933,-18.76,-40.11,
6122670,-20.1,-74.89,
6205410,-26.25,-37.44,
6288149,-32.4,-45.46,
6370887,-19.29,-61.51,
6453626,-24.91,-53.49,
6536365,-18.76,-69.53,
6619104,-20.1,-77.56,
6701844,-21.43,-80.23,
6784583,-24.64,-58.84,
6867323,-32.67,-61.51,
6950062,-24.37,-56.16,
7032800,-34.27,-50.82,
7115539,-28.92,-64.18,
7198277,-36.94,-64.19,
7281016,-29.19,-98.95,
7363752,-32.13,-34.77,
7446491,-37.75,-64.18,
7529231,-33.47,-48.14,
7611971,-40.42,-64.19,
7694709,-35.88,-93.61,
7777448,-31.6,-69.53,
7860188,-23.57,-80.23,
7942927,-26.51,-50.82,
8025665,-30.79,-45.46,
8108405,-29.19,-82.91,
8191145,-35.07,-80.23,
8273885,-27.05,-45.47,
8356623,-34.27,-37.44,
8439361,-25.98,-45.46,
8522099,-22.5,-32.09,
8604836,-19.56,-85.58,
8687573,-27.85,-42.79,
8770313,-25.18,-77.56,
8853051,-21.7,-50.82,
8935789,-34,-34.76,
9018528,-21.43,-45.47,
9101265,-23.84,-18.72,
9184005,-21.43,-18.72,
9266744,-15.28,-26.75,
9349484,-21.17,-32.09,
9432224,-9.13,-42.79,
9514964,-10.2,-24.07,
9597702,-6.19,-26.75,
9680440,-11,8.03,
9763180,5.31,-10.69,
9845916,-4.58,-26.75,
9928654,3.44,21.4,
10011394,12.53,0,
10094134,14.94,-26.74,
10176874,22.96,24.07,
10259614,18.15,24.07,
10342353,22.96,24.07,
10425092,19.49,21.4,
10507829,6.11,26.75,
10590569,19.49,32.1,
10673308,25.1,24.07,
10756046,33.4,32.09,
